,hour_category,count
0,00:00,67589
1,01:00,71087
2,02:00,83482
3,03:00,86199
4,04:00,63895
5,05:00,9982
6,06:00,28771
7,07:00,55192
8,08:00,84692
9,09:00,109848
10,10:00,109330
11,11:00,134698
12,12:00,124026
13,13:00,111737
14,14:00,82339
15,15:00,79720
16,16:00,87022
17,17:00,75222
18,18:00,68037
19,19:00,69268
20,20:00,64490
21,21:00,45015
22,22:00,26780
23,23:00,17242
